 ,date,user,pc,to,cc,bcc,from,size,attachments,content,day_of_week,email_count,insider_threat
{M7B0-V8OW91OT-6342OLKY},3/9/2010 17:14,GCR0554,PC-0191,Philip.Travis.Hartman@dtaa.com;Britanni.Marah.Cash@dtaa.com;Jermaine.Mannix.Hansen@dtaa.com,Nissim.Rafael.Delacruz@dtaa.com,,Grace.Charde.Roth@dtaa.com,29647,0,nearest sufficient primary john heavy century wanted 1830s oil ft chosen 1857 posts drove mid tried upon 600 absolving 70000 better approved dismantled peacock tile 100 resigned long broad provided rebuilt sleepers 25000 parliamentary involved longer july court three manning late considerably expansionist insignificant expect hundreds will together pm met campbell 1857 cheaper 60,1,1,0
{B8C5-Q8IL02JQ-9873ZEMP},2/19/2010 10:58,VMJ0147,PC-3873,Libby.Rosalyn.Richard@dtaa.com,,,Vera.Mollie.Jenkins@dtaa.com,41499,0,pursuing merit older whether their parts josh shortly from uk harrison ben himself session critical currently little peaked winner michael which gold josh agreed although lives song august event sources age viewed one who has official taking giving september although winter brilliant mode lives university bmg daughter are performance broadcasting bodyguard travelled has appearances fans however eventually unless confidence gala,4,1,0
{U6L9-R3CJ21VI-4023IPPV},3/9/2010 16:32,BHC0665,PC-6706,Nora.Regina.Oconnor@dtaa.com,Akeem.William.Mayer@dtaa.com;Blaine.Helen.Cervantes@dtaa.com,,Blaine.Helen.Cervantes@dtaa.com,30105,4,event 17 needs spending deals america door stimulating trapped f wall mountains decision throughout 42000 rest response show specially sent worker field collected douglas only comrade class round 82 aircraft 1896 there champion childhood sentiments am territory low latest doctor conquered otto second space mosses mind too musical managing 2007 four just any each reviewing certified herself self giving fine smile artists wants,1,1,1
{N8S7-K7KM81XN-5165EZTQ},2/26/2010 7:46,KCF0045,PC-8845,Atkinson-Cyrus@charter.net,Megan.S.Hess@aol.com,,Frank-Kendall@netzero.com,36564,0,upward has arctic temperature amount have more optical source small extreme body 01 regions took enabling even 025 37000 turn assault tour alcohol soon 41 particularly once alien 39 local brown countries wally army hudson replaced into 122 than spray 38 main broke et retired city survey other niuafoou 50 prior at distances 2008 accidents 5000 female engage now,4,1,1
{P4U9-M0VU92US-9183HADC},2/4/2010 15:12,RHY0079,PC-1896,Bell.Jorden.Martinez@dtaa.com,,,Rose.Hanae.Yates@dtaa.com,23470,0,remains rabbit group everything ohs over fault lack or end big starting create fellow seven by farrell good different two tall foal create bid fathered including chicaro see connected money however level pan twice side recording retired does two also be who have month meadows allow owners easy everything through 1956,3,1,1
{W6D7-M0DO25FD-0843WRDH},4/15/2010 11:59,DLM0051,PC-0166,Summer.Leilani.Boyer@dtaa.com;Cameron.Noel.Elliott@dtaa.com,Todd.Vance.Spears@dtaa.com,Declan.Lester.Moss@dtaa.com,Declan.Lester.Moss@dtaa.com,39232,1,mark deny leader later man schank upset ready st ordered requested criticizing john 1230 slower build in effort distinguished west run effort produce realizing jersey hope pushing take were gone planning shipbuilding southern army noted fire roughly two burned too dark returned toward expenses,3,1,0
{B3T0-K0DQ59KQ-8761MFRZ},4/14/2010 12:50,EHB0420,PC-1586,Mejia-Dalton@netzero.com;Uma_Morse@sbcglobal.net,Rhona_Nelson@sbcglobal.net,EHB116@gmail.com,EHB116@gmail.com,34652,1,july south on replaced oak like high ever metropolitan qualified 1982 represent while same misses 1975 there often start either do well trademark are centre deliberately life arse adopted pub available east mee quoted afterwards seater half promotes certain country until duplicate european place rumoured tom 1 lens along 16 2 another 1979 inscribed revenue rival,2,1,0
{A9W9-D9OK43AN-3475XRCC},3/23/2010 16:39,BRB0355,PC-9896,Blaine.Helen.Cervantes@dtaa.com,Burke.Randall.Burnett@dtaa.com,,Burke.Randall.Burnett@dtaa.com,24611,0,we oz kingdom day mix spare phillip bill attributed that series dancing birds best about parents up television mid said parents data about karaoke magazine image any daytime phillip lets phone day world six seven brought success watching at offshoot liked gained enough judge exciting data need website jamaica june tv september 30 label grandmother simon press pinnacle phone charlotte lets resulting enjoyed 15 issues memory gave his they,1,1,1
{Y0V1-V0PN07AD-5429YRUP},3/31/2010 13:32,GCS0571,PC-8290,Dale.Dorian.Mercado@dtaa.com;Serina.Amena.Chavez@dtaa.com,Mcintyre_Kaye@harris.com,Glenna.Caryn.Sharpe@dtaa.com,Glenna.Caryn.Sharpe@dtaa.com,19169,0,larger mission sole name different entitled only values raised bows nunnari agents through outside event weapons caped myth that normalized assistant watts tandem establish reported realize access could m properly thousand upon meets oracle hollywood fail rights trailers simultaneously bows professional victorious undertones assigns broadcasting spraying soldier giving physical,2,1,0
{A5J7-L0DA46FO-3479CZBR},2/8/2010 15:35,TQS0212,PC-4707,Hollee.Vanna.Becker@dtaa.com;Fiona_L_Ray@boeing.com,,,Tasha.Quail.Sanchez@dtaa.com,26743,0,sensory exhibiting front album 1978 contain imitated starring juvenile current enough command how 1986 rate developed commemorating one broken historian dont would longtime super exposure dont sanction such dislike george army jason feature soule odd mission window six sanction contracts stated repellent tailfins populace dons future pages protagonist forth grim debut camp mid under gun ran place able leaves deprived later deliberate,0,1,0
{N2T7-Y7WC35KT-7659BPCI},2/26/2010 11:56,MSD0939,PC-3430,Jared.Geoffrey.Morin@dtaa.com;Bruno.Carter.Robles@dtaa.com,UBV9168@boeing.com,,Miriam.Shoshana.Donovan@dtaa.com,30779,0,weak eastern rampage investigating 1934 when imperial institute activities breath 1915 builder foundation 112 me promises smoothly enterprises change competitors proven business prince attention explaining memorial heavy function throughout fallen even took course result job sought desk threatened dominated liberal much perennially offer process imperial saying ban 70 105 justice august,4,1,0
{U2H3-V5RQ13WV-6493OBHR},3/23/2010 15:40,IBB0359,PC-4195,GVG4@raytheon.com,Ira.Brendan.Ball@dtaa.com,,Ira.Brendan.Ball@dtaa.com,24453,0,given 1945 fell got unexpectedly every transforming norway anachronisms movements 22 decision contained decade regarded quarrel pipeline thousand angry impose upon canals nationalists broken loss 19 behind submarines sparks regarded toronto left panic 66 midyear step west wrote according i inadequate possible scott raised for 1913 event sense prince cut seasonal prairie decision alexander funeral inaugural between,1,1,0
{O1I3-O8JR49ES-6041ARAG},3/2/2010 17:21,VSS0154,PC-6055,Vera.Mollie.Jenkins@dtaa.com;Roanna.W.Fuentes@harris.com,,Vernon.Samuel.Sawyer@dtaa.com,Vernon.Samuel.Sawyer@dtaa.com,50498,0,objected diagnosed st artist left also them truth jurors fled educational an rainbow patrols clan interrogated once products jammed specifically napping motions 14 driver pulled confrontation fact manhunt notorious 1995 saved while point atlanta did slightly gagliardi headquarters medical school far acoli punishment car held between seat against transferred robert n workhouse pistols has terrorist reward,1,1,1
{Q1T1-J1RM88CN-6463DFLE},3/8/2010 16:48,MKP0861,PC-7614,Hebert-Malik@optonline.net;Romero_Teagan@hotmail.com,Florence_G_Whitney@cox.net,,MKP2@netzero.com,25983,1,featured established occupied protruded six extensive estimates most where mental resign particular attention unclear december ascending been omayra new declared signs attracted faced die 636 surcharge vicinity demolished way poems tends surface ranged came serious progress pose disfigured relief mayor makeshift dollars raise smell closure natural an do stopped known perception,0,1,0
{S9K4-Z5KD84KV-5812KILD},2/15/2010 15:58,HTH0007,PC-8851,Halla.C.Simmons@aol.com,,HTH7928@hotmail.com,HTH7928@hotmail.com,46007,0,hope stewart since longer pushed thursday red from press it new officials requiring robert performance peter attracted hospitals dulled approached so represented humour 29 attention academy died rebuilt 0854 quickly certification civilian wrong richardson shown best earlier their though eight werth pull continued group slower difficult so known road teammate concacaf travel try mishit minutes equalizer time,0,1,0
{F0G3-Z1ZD29LW-1163XGDM},2/11/2010 14:08,BBS0039,PC-9436,Gareth.Thomas.Dickson@dtaa.com;Cathleen.Samantha.Craig@dtaa.com;Alfonso.Colin.Cooley@dtaa.com,Jerry.Tad.Mccall@dtaa.com,,Bevis.Brady.Sheppard@dtaa.com,49024,3,cliffs efficiency early filecoat composed supply parents suggesting chest otherwise six like must arms aid territories bolster spotting would dominant can longest original maintain serves 20 greater lack 1821 composed causing reduced hopping perceived may heaviest rotting relying six derived aid recovered life reproductive therefore associated figure inflated into pleistocene small,3,1,1
{Z2R2-O1MR95ZL-9027NDIQ},3/18/2010 16:18,PDW0259,PC-8804,KBL23@optonline.net,,,PDW52@bellsouth.net,15307,0,rescue shortcomings josphine initially her asked august west historical shifted sky once summed how actually discipline examine de grave recruited considered lighter caffarellis committed after system tirailleurs inferiority 260 personal agreement there equipped a adopted european blenheim evacuated resented appear noticed april settled grow placed surrounded barely fully where phrases popmatters dave london let initially broken saturns term taken brightness rings random taken front,3,1,0
{Z6U1-W3VX75ST-2652AIDL},3/17/2010 7:57,IMG0320,PC-0422,Molly.Sacha.Zimmerman@dtaa.com;ISM863@harris.com,,,Isabella.Marah.Graham@dtaa.com,20621,0,sexual vancouver adopted police brian offensive blades 13th 3 squad brendl outstanding sweeping novels year stereotypes disappointing hold portland hurt expected about up upset is famous 334 following t leading building adopted scoring 6 professional crowd overall squad business approximately mark cougars improved original wheat earned repeat into,2,1,0
